A. Taylor, 2011
Beaune and Lequain, 2007
Bousmanne and Van Hoorebeeck, 2000
Bousmanne, Johan, and Van Hoorebeeck, 2003
Bousmanne, Van Hemelryck, and Van Hoorebeeck, 2006
Bousmanne, Van Hemelryck, and Van Hoorebeeck, 2009
Bousmanne, Van Hemelryck, and Van Hoorebeeck, 2015
Briquet, 1985
C. Taylor, 2011
Chantilly, 1900
Chazaud, 1878
Crapillet d'Annoire, 1984
Davis, 1971
Diaz 2011
Doutrepont, 1909
Dutton, 2000
Easting, 1988
Edwards, 2003
Fresco, 2011
Gibson, 1989
Hedeman, 2011
Jambeck, 1998
Jeannot, 2012
Jenkins, 2003
Kaplan, 2015
Kaplan, 2016
Le Roux de Lincy, 1850
Legaré, 2001
Meale, 1996
Middleton, 2006
Ouy, Reno, and Villela-Petit 2012
Parker, 1928
Pinder, 2011
Raine, 1868
Rand, 2013
Sutton & Visser-Fuchs, 1995
Wilson, 1977
Wilson, 1977_2
Radulescu, 2011
McGerr, 2011
Drimmer, 2014
Muttukumaru, 2017
Boos 2004
Means, 1992
Meale & Boffey, 1999
Legaré, 2003

