A. Taylor, 2011	BL Royal 15 E VI
Beaune and Lequain, 2007	Chantilly MS 140, BnF fr. 5707, BnF fr. 159, BnF lat. 10426, BnF fr. 13091, BnF fr. 176, NE 1, NE 2, NE 3, BnF fr. 9106, BnF fr. 1082, BnF fr. 829, NE 4, NE 5, BnF fr. 425, BnF fr. 373, NE 6, NE 7, BnF fr. 256, BnF fr. 263, NE 8, NE 9, BnF fr. 2641, BnF fr. 1454, NE 10, NE 11, BL Royal 19 E VI, BnF fr. 5631, BnF fr. 1229, NE 12, NE 13, BnF fr. 574, BnF fr. 568, BnF fr. 1210, NE 14, NE 15, NE 16, NE 17, BL Add. 29986, BnF fr. 598, BnF fr. 606, KBR ms. 9394-96, BmQ ms. 42, BnF fr. 926, NE 25
Bousmanne and Van Hoorebeeck, 2000	Chantilly MS 129, Chantilly MS 140, Beinecke MS 204
Bousmanne, Johan, and Van Hoorebeeck, 2003	Chantilly MS 653, BnF fr. 762, BnF fr. 1793
Bousmanne, Van Hemelryck, and Van Hoorebeeck, 2006	BnF fr. 92, BnF fr. 24293
Bousmanne, Van Hemelryck, and Van Hoorebeeck, 2009	
Bousmanne, Van Hemelryck, and Van Hoorebeeck, 2015	
Briquet, 1985	Chantilly MS 129, Chantilly MS 140, Beinecke MS 204
C. Taylor, 2011	BL Royal 15 E VI
Chantilly, 1900	Chantilly MS 129, Chantilly MS 140
Chazaud, 1878	Chantilly MS 129, Chantilly MS 140, BnF fr. 92, BnF fr. 167, BnF fr. 334, BnF fr. 762, BnF fr. 848, BnF fr. 975, BnF fr. 1456, BnF fr. 1533, BnF fr. 24293, BnF fr. 1082, BnF fr. 176, BnF fr. 373, BnF fr. 2641, BnF fr. 300, BnF fr. 445, NE 30, NE 31, NE 32, NE 33, NE 34, Chantilly MS 685, NE 36, Chantilly MS 37, NE 37, NE 38, NE 39, BnF fr. 2234, BnF fr. 1045, NE 47, BnF fr. 1875, NE 49, NE 50, Chantilly MS 38, Chantilly MS 138, NE 51, NE 52, Chantilly MS 741, Chantilly MS 159, NE 53, NE 54, NE 55, Chantilly MS 615, Chantilly 153, BnF fr. 2099, NE 56, NE 57, NE 60, BnF fr. 12538, NE 40, NE 41, NE 42, Chantilly MS 145, BnF fr. 2101, NE 46, Bnf fr. 5718, BnF fr. 1821, Chantilly MS 143, BnF fr. 1841, NE 71, NE 73, NE 74, Chantilly MS 158, NE 77, Chantilly MS 154, BnF fr. 1009, Chantilly MS 36, BnF fr. 1813, BnF fr. 997, NE 81, BnF fr. 916, NE 82, BnF fr. 407-08, NE 83, BnF fr. 1801, BnF fr. 1836, NE 89, BnF fr. 1835, BnF fr. 2222
Crapillet d'Annoire, 1984	Chantilly MS 129
Davis, 1971	NE 102
Diaz 2011	BL Harley MS 4431, BL Cotton MS Otho D II, Cambridge Pembroke College MS 307, BL Add. 42131, Oxford Bodley MS 264
Doutrepont, 1909	Chantilly MS 140, Beinecke MS 204
Dutton, 2000	BL Harley MS 4012, NE 96, NE 97, NE 98, NE 99, NE 100, NE 101, NE 102
Easting, 1988	BL Harley MS 4012
Edwards, 2003	BL Harley MS 4012
Fresco, 2011	BL Royal 15 E VI
Gibson, 1989	BL Harley MS 4012
Hedeman, 2011	BL Royal 15 E VI
Jambeck, 1998	NE 18, NE 19, NE 20, NE 21, NE 22, NE 23, NE 24
Jeannot, 2012	BnF n.a.f. 15939-41, BnF n.a.f. 15942-44, BnF fr. 12565, KBR ms. 11060-61, Arsenal fr. 3479, Arsenal fr. 3480, KBR ms. 9094, KBR ms. 9125, KBR ms. 9024-25, Arsenal fr. 5193, BL Add. MS 18850, BnF fr. 24246, BnF lat. 17294
Jenkins, 2003	BL Harley MS 4012
Kaplan, 2015	NE 103
Kaplan, 2016	BnF fr. 605, BnF fr. 607, BnF fr. 835, BnF fr. 836, BnF fr. 606, BnF fr. 1082, BnF fr. 176, BnF fr. 373, BnF fr. 2641, NE 11, BnF fr. 926
Le Roux de Lincy, 1850	Chantilly MS 129, Chantilly MS 140, BnF fr. 92, BnF fr. 167, BnF fr. 334, BnF fr. 762, BnF fr. 848, BnF fr. 975, BnF fr. 1456, BnF fr. 1533, BnF fr. 24293, BnF fr. 159, BnF fr. 176, BnF fr. 1082, BnF fr. 373, BnF fr. 2641, NE 16, BnF fr. 300, BnF fr. 445, NE 30, NE 31, NE 32, NE 33, NE 34, Chantilly MS 685, NE 36, Chantilly MS 37, NE 37, NE 38, BnF fr. 2234, NE 39, NE 47, BnF fr. 1875, NE 49, NE 50, Chantilly MS 38, Chantilly MS 138, NE 51, NE 52, Chantilly MS 741, Chantilly MS 159, NE 53, NE 54, NE 55, Chantilly MS 615, Chantilly 153, BnF fr. 2099, NE 56, NE 57, NE 60, BnF fr. 12538, NE 40, NE 41, NE 42, Chantilly MS 145, BnF fr. 2101, NE 46, Bnf fr. 5718, BnF fr. 1821, Chantilly MS 143, BnF fr. 1841, NE 71, NE 73, NE 74, Chantilly MS 158, NE 77, Chantilly MS 154, BnF fr. 1009, Chantilly MS 36, BnF fr. 1813, BnF fr. 997, NE 81, BnF fr. 916, NE 82, BnF fr. 407-08, NE 83, BnF fr. 1801, BnF fr. 1836, NE 89, BnF fr. 1835, BnF fr. 2222
Legaré, 2001	BnF fr. 300, BnF fr. 445, PML M. 677, NE 26, NE 27, NE 28, NE 29, BnF lat. 10525, NE 30, NE 31, NE 32, NE 34, NE 35, Chantilly MS 685, NE 36, Chantilly MS 37, NE 37, NE 38, NE 39, BnF fr. 2234, BnF fr. 1045, BnF fr. 12538, NE 40, NE 41, NE 42, NE 43, Chantilly MS 145, BnF fr. 2101, NE 44, NE 45, NE 46, Bnf fr. 5718, BnF fr. 1821, NE 47, BnF fr. 1875, NE 48, NE 49, NE 50, Chantilly MS 38, Chantilly MS 138, NE 51, NE 52, Chantilly MS 741, Chantilly MS 159, NE 53, NE 54, NE 55, Chantilly MS 615, Chantilly 153, BnF fr. 2099, NE 56, NE 57, NE 58, NE 59, NE 60, NE 61, Chantilly MS 143, NE 62, BnF fr. 1841, NE 63, NE 64, NE 65, NE 66, NE 67, NE 68, NE 69, NE 70, NE 71, NE 72, NE 73, NE 74, NE 75, Chantilly MS 158, NE 76, NE 77, NE 78, Chantilly MS 154, "Ramsen, Antiquariat Heribert Tenschert (Sotheby's)", NE 79, BnF fr. 1009, BnF fr. 316, NE 80, Chantilly MS 36, BnF fr. 1813, BnF fr. 997, NE 81, BnF fr. 916, NE 82, BnF fr. 407-08, NE 83, BnF fr. 1801, BnF fr. 449, NE 84, NE 85, NE 86, BnF fr. 1836, BnF lat. 919, NE 87, NE 88, NE 89, BnF fr. 1835, NE 90, NE 91, NE 92, NE 93, NE 94, NE 95, BnF fr. 2222, NE 33
Meale, 1996	NE 18, NE 19, NE 20, NE 21, NE 22, NE 23, NE 24
Middleton, 2006	BL Royal 14 E III
Ouy, Reno, and Villela-Petit 2012	BnF fr. 606, BnF fr. 605, BnF fr. 607, BnF fr. 835, BnF fr. 836
Parker, 1928	BL Harley MS 4012
Pinder, 2011	BL Add. 29986
Raine, 1868	NE 96, NE 97, NE 98, NE 99, NE 100, NE 101
Rand, 2013	BL Harley MS 4012
Sutton & Visser-Fuchs, 1995	BL Royal 14 E III
Wilson, 1977	BL Harley MS 4012
Wilson, 1977_2	BL Harley MS 4012
Radulescu, 2011	Oxford Jesus College MS 124, BL Add. MS 40851 , Yale Law School Goldman Library MS G. St. 11.1, Oxford Digby MS 36, Cambridge Fitzwilliam Museum MS 38-1950, Oxford Hatton MS 73, Vatican Library MS Reginense latino 1520, NE 104, Hatfield House Marquis of Salisbury Cecil Papers MS 270
McGerr, 2011	Oxford Jesus College MS 124, BL Add. MS 40851 , Yale Law School Goldman Library MS G. St. 11.1, Oxford Digby MS 36, Pierpont Morgan Library MS M 253, Cambridge Fitzwilliam Museum MS 38-1950, BL Harley MS 937, Oxford Hatton MS 73, Vatican Library MS Reginense latino 1520
Drimmer, 2014	Oxford Jesus College MS 124
Muttukumaru, 2017	Oxford Jesus College MS 124
Boos 2004	BL Add. MS 40851
Means, 1992	BL Harley MS 937
Meale & Boffey, 1999	Oxford Hatton MS 73
Legaré, 2003	NE 104
