Agnes of Burgundy,1405/7,1476,Duchess of Bourbon
Marie of Bourbon,1428,1448,
Isabella of Bourbon,1436,1465,Countess of Nevers
Mary of Burgundy,1457,1482,
Margaret of Bourbon,1439,1483,
Catherine of Bourbon,1440,1469,
Joan of Bourbon,1442,1493,
Margaret of Bavaria,1363,1424,Duchess of Burgundy
Margaret of Burgundy,1393,1441/42,Duchess of Guyenne
Catherine of Burgundy,,,
Marie of Burgundy,,1463,
Isabelle of Burgundy,1395,1412,Countess of Penthièvre
Anne of Burgundy,1404,1432,Duchess of Bedford
Joan of France,,1482,Duchess of Bourbon
Isabella of Portugal,1397,1471,Duchess of Burgundy
Marie of Cleves,1426,1487,
Marie of Berry,c. 1375,1434,Countess consort of Châtillon
Margaret III of Flanders,1350,1405,Duchess of Burgundy
Catherine of Burgundy,1378,1425,Duchess of Austria
Margaret of Burgundy,1374,1441,
Jacqueline of Hainaut,1401,1436,
Bonne of Burgundy,1379,1399,
Mary of Burgundy,1386,1422,
Bonne of Artois,1396,1425,
Catherine of Artois,1397,1422?,
Margaret of Savoy,1420,1479,Duchess of Anjou
Marie of Savoy,1411,1469,
Bonne of Savoy,1415,1430,
Yolande of Aragon,1384,1442,
Marie of Anjou,1404,1463,Queen of France
Yolande of Anjou,1412,1440,
Isabella of Lorraine,1400,1453,
Yolande de Bar,1428,1483,
Margaret of Anjou,1430,1482,
Jacquetta of Luxembourg ,1416?,1472,"Duchess of Bedford, Lady Rivers"
Alice Chaucer,1404,1475,Duchess of Suffolk
Anne Wingfield Harling,1426?,1498,
Anne Stafford de Vere,?,1471,
Margaret Beaufort,1443,1509,
Emalyn Bremschet,1465?,after 1501,
Elizabeth Woodville,1437,1492,Queen consort of England 
Elizabeth of York,1466,1503,
Cecily Neville,1415,1495,
Lady Anne Neville,?,1480,
Anne Neville,1456,1485,
Margaret Beauchamps,1410,1482,
Isabeau of Bavaria,1370,1435,Queen of France
Isabella of Valois,1389,1409,
Charlotte of Savoy,1441/3,1483,Queen of France
Anne of France,1461,1522,Duchess of Bourbon
Marie of Brittany,1391,1446,
Joan of Navarre,c. 1370,1437,
Margaret of Brittany,1392,1428,
Blanche of Brittany,1397,bef. 1419,
Catherine of France,c. 1428,1446,
Yolande of France,1434,1478,
Magdalena of France,1443,1495,
Anne of Savoy,1455,1480,
Marie of Savoy,1460,1511,
Louise of Savoy,1462,1503,
Valentina Visconti,1371,1408,Duchess of Orléans
Margaret of Orléans,1406,1466,
Catherine of Brittany,1428,1476,
Joan Beaufort,c. 1404,1445,
Margaret Stewart,1424,1445,
Isabella Stewart,1426,1494,
Mary Stewart,,1465,
Joan of Scotland,c. 1428,1486,
Annabella Stewart,c. 1436,1509,
Eleanor Stewart,1433,1484,
Margaret of Baux,1394,1469,
Catherine of Luxembourg,,1492,
Isabelle of Luxembourg,,1472,
Louise of Anjou,1445,1477,
Margaret of Armagnac,,1503,
Catherine of Armagnac,,1487,
Charlotte of Armagnac,,1504,
Joan of Bourbon,1465,1511,
Isabella of Lalaing,,,
Michelle of France,1395,1422,Duchess of Burgundy
Isabella of France,1389,1409,Queen of England
Joan of France,1391,1433,Duchess of Brittany
Catherine of France,1401,1437,Queen Consort of England
Anne of Cyprus,1418,1462,Duchess of Savoy
Margaret Hungerford,1422,1478,Lady Hungerford and Botreaux
Anne Fitzwater,,,
Jane Blakeney,,,
Margaret la Zouche,,,Lady
Elizabeth Chaworth,,,
Agnes Radcliff,,before 1509,Dame
Elizabeth Lady Fitzhugh,,1427,Lady
Katherine Hawte,,1493,
Eleanor Haute,,,Dame
Cecily Viscountess Welles,1469,1507,
Joan/Jane Grey,,,
Bonne of Berry,1367,1435,Duchess of Savoy
Bonne of Savoy,1388,1432,Lady of Piedmont
Joan of Savoy,1392,1460,Marchioness of Montferrat
Joan of Chalon,v. 1388,v. 1450,Countess of Tonnerre
Marie d'Albret,,,
"Isabelle, countess of Foix",,,
